RECORD,BBLE,B,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,score1,score2,score1 rank,score2 rank,final
917942,4142600001,4,14260,1,,"LOGAN PROPERTY, INC.",T1,4,4910,133.8715675,,3,374019883,1792808947,4668308947,1792808947,4668308947,2198,154-68 BROOKVILLE BOULEVARD,11422,X4,64.43978678,87.82072964,1644454002,4501180002,1644454002,4501180002,,FINAL,2010/11,AC-TR,2209.936561,695.3040487,1070994,1070994,1070994
565392,3085900700,3,8590,700,,U S GOVERNMENT OWNRD,V9,4,117,108,,5.446967885,4326303700,1946836665,1946836665,1946836665,1946836665,2231,FLATBUSH AVENUE,11229,X1,64.43978678,87.82072964,848484666,848484666,848484666,848484666,,FINAL,2010/11,AC-TR,2025.314102,659.3983682,1070993,1070993,1070993
85886,1012540010,1,1254,10,,PARKS AND RECREATION,Q1,4,4000,150,,1,70214000,31455000,31596300,31455000,31596300,2231,JOE DIMAGGIO HIGHWAY,10025,X1,8,8,28134000,28260180,28134000,28260180,,FINAL,2010/11,AC-TR,1921.854967,606.0523805,1070992,1070992,1070992
684704,4036590105,4,3659,105,,W RUFERT,V0,1B,2,2,,4,561363.896,14781.26848,14784.1006,0,0,,69 STREET,11385,,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,1278.165719,448.1635051,1070990,1070991,1070990.5
67129,1011110001,1,1111,1,,CULTURAL AFFAIRS,Q1,4,840,133.8715675,E,5.446967885,6150000000,2668500000,2767500000,2668500000,2767500000,2231,1000 5 AVENUE,10028,X1,64.43978678,87.82072964,2371005000,2465055000,2371005000,2465055000,,FINAL,2010/11,AC-TR,1328.074705,427.7532016,1070991,1070990,1070990.5
915469,4141400001,4,14140,1,,UNITED STATES OF AMER,V0,1B,999,999,,4,540143500,32408610,32408610,32408610,32408610,4600,CROSS BAY BOULEVARD,11414,X3,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,952.2745368,336.1124142,1070988,1070989,1070988.5
690833,4038660070,4,3866,70,,PARKS AND RECREATION,Q1,4,610,534,,3,242000000,103500000,108900000,103500000,108900000,2231,83-98 FOREST PARKWAY,11385,X1,20,20,97020000,102420000,97020000,102420000,,FINAL,2010/11,AC-TR,956.8481234,305.0698611,1070989,1070988,1070988.5
44248,1008520001,1,852,1,,PARKS AND RECREATION,Q1,4,420,740,,1,179625000,76950000,80831250,76950000,80831250,2231,2 MADISON AVENUE,10010,X1,20,20,71157600,74903850,71157600,74903850,,FINAL,2010/11,AC-TR,819.7620767,246.2448587,1070987,1070987,1070987
1059883,5069770012E,5,6977,12,E,,Z7,4,5,5,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,SAGONA COURT,10309,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,717.9492183,235.2527179,1070985,1070986,1070985.5
116647,1015410021,1,1541,21,,MF ASSOCIATES OF NEW,D6,2,25,75,,35,161000000,19215000,72450000,0,0,,1849 2 AVENUE,10128,,70,456,19215000,66960000,,,,FINAL,2010/11,AC-TR,684.5841516,224.0323674,1070984,1070985,1070984.5
565398,3085910100,3,8591,100,,DEPT OF GENERAL SERVI,V9,4,466,1009,,5.446967885,2310884200,1039897890,1039897890,1039897890,1039897890,2191,FLATBUSH AVENUE,11229,X1,64.43978678,87.82072964,435264156,435264156,435264156,435264156,,FINAL,2010/11,AC-TR,681.7827879,208.9574394,1070983,1070982,1070982.5
39770,1007980066,1,798,66,,GREENHORN DEVELOPMENT,D9,2,75,98,,13,10200000,1741500,4590000,0,0,,142 WEST 23 STREET,10011,,8,8,1741500,4525800,,,,FINAL,2010/11,AC-TR,630.7820556,223.7400308,1070981,1070984,1070982.5
501143,3069440165,3,6944,165,,PARKS AND RECREATION,Q1,4,945,173,,1,41200000,18045000,18540000,18045000,18540000,2231,2000 SHORE PARKWAY,11214,X1,20,10,17001000,17496000,17001000,17496000,,FINAL,2010/11,AC-TR,722.5734182,195.3887453,1070986,1070979,1070982.5
556609,3083120001,3,8312,1,,PARKS AND RECREATION,Q1,4,35,50,,1,136000000,60750000,61200000,60750000,61200000,2231,9006 SEAVIEW AVENUE,11236,X1,88,62,58590000,59040000,58590000,59040000,,FINAL,2010/11,AC-TR,669.137551,200.1635436,1070982,1070981,1070981.5
106681,1014530027,1,1453,27,,79TH REALTY LLC,D8,2,25,100,,44,114000000,33750000,51300000,0,0,,350 EAST 79 STREET,10075,,25,100,33750000,48959998,,,,FINAL,2010/11,AC-TR,545.7086917,184.9773808,1070978,1070977,1070977.5
738018,4059170001,4,5917,1,,THE CITY OF NEW YORK,V3,1B,2000,2200,,4,279670117,16780207,16780207,16780207,16780207,4500,423 ABBOT ROAD,11359,X3,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,497.8502854,188.6932388,1070974,1070978,1070976
151044,2024930001,2,2493,1,,,Q6,4,798,611,,6,1663775000,78750000,748698750,78750000,748698750,2500,1 EAST 161 STREET,10451,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,523.4053992,172.9270812,1070977,1070975,1070976
957064,5006830001,5,683,1,,DEPT RE-CITY OF NY,W5,4,2464,864,,1,49515000,21780000,22281750,21780000,22281750,3500,715 OCEAN TERRACE,10301,X7,10,24,21099780,21601530,21099780,21601530,,FINAL,2010/11,AC-TR,624.5447563,164.7979859,1070980,1070972,1070976
1065870,5076440001,5,7644,1,,PEOPLE OF THE ST OF N,V0,1B,2891,1488,,4,290174603,17410476,17410476,17410476,17410476,3390,HYLAN BOULEVARD,10309,X7,39.5,82.66666667,,,,,,FINAL,2010/11,AC-TR,510.2008082,178.0104555,1070975,1070976,1070975.5
33751,1006940042,1,694,42,,"GUIDARA, FRANK",D4,2,122,98,,15,14400000,540000,6480000,0,2466688,5110,520 WEST 23 STREET,10011,,8,10,540000,6003000,,2275888,,FINAL,2010/11,AC-TR,479.5784175,195.8206258,1070971,1070980,1070975.5
419,1000160003,1,16,3,,THE CITY OF NEW YORK,Z9,4,2290,873,,27,259204000,115650000,116641800,115650000,116641800,2191,JOE DIMAGGIO HIGHWAY,10280,X1,30,100,106883843,107827403,106883843,107827403,,FINAL,2010/11,AC-TR,420.2322091,220.7261512,1070966,1070983,1070974.5
964934,5009020001,5,902,1,,NYS DEPT OF ENVIRONME,Q5,4,923,1500,,1,43800000,19215000,19710000,19215000,19215000,3390,TODT HILL ROAD,10304,,10,20,18220230,18715230,18220230,18220230,,FINAL,2010/11,AC-TR,558.8019127,155.1561262,1070979,1070968,1070973.5
918204,4151000700,4,15100,700,,U S GOVERNMENT OWNRD,V9,4,8000,2600,,5.446967885,1662400000,748080000,748080000,748080000,748080000,4600,159 STREET,11434,X1,64.43978678,87.82072964,328392000,328392000,328392000,328392000,,FINAL,2010/11,AC-TR,514.5318087,163.4234123,1070976,1070971,1070973.5
252834,2059200130E,2,5920,130,E,,V9,4,6,6,,5.446967885,3211927.522,600949.4334,1488705.342,0,0,,4510E DOUGLAS AVENUE,10471,,64.43978678,87.82072964,,,,,,FINAL,2010/11,AC-TR,486.870163,168.8185646,1070972,1070974,1070973
927227,4159800002,4,15980,2,,PARKS AND RECREATION,Q1,4,2140,230,,2,175980000,72000000,79191000,72000000,79191000,2231,54-02 ALMEDA AVENUE,11692,,20,20,63720000,70911000,63720000,70911000,,FINAL,2010/11,AC-TR,495.2916738,157.2018919,1070973,1070969,1070971
